id;name;suhu;kelembaban;cahaya;keran;date
1456;syarif;28;95;00.34;52.04.00;04/08/20 10.53
1457;syarif;28;95;00.34;52.04.00;04/08/20 10.54
1458;syarif;27;95;00.34;50.07.00;04/08/20 10.54
1459;syarif;27;95;00.34;50.07.00;04/08/20 10.54
1460;syarif;27;95;00.29;51.32.00;04/08/20 10.54
1461;syarif;27;95;00.34;50.07.00;04/08/20 10.55
1462;syarif;28;95;00.29;50.95;04/08/20 10.55
1463;syarif;28;95;00.39;52.35.00;04/08/20 10.55
1464;syarif;28;95;00.39;52.35.00;04/08/20 10.55
1465;syarif;28;95;00.39;52.35.00;04/08/20 10.56
1466;syarif;28;95;00.34;52.04.00;04/08/20 10.56
1467;syarif;28;95;00.39;52.35.00;04/08/20 10.56
1468;syarif;28;95;00.39;52.35.00;04/08/20 10.56
1469;syarif;28;95;00.39;52.35.00;04/08/20 10.57
1470;syarif;28;95;00.39;52.35.00;04/08/20 10.57
1471;syarif;28;95;00.34;52.04.00;04/08/20 10.57
1472;syarif;28;95;00.34;52.04.00;04/08/20 10.57
1473;syarif;28;95;00.39;52.35.00;04/08/20 10.58
1474;syarif;28;95;00.39;52.35.00;04/08/20 10.58
1475;syarif;28;95;00.39;52.35.00;04/08/20 10.58
1476;syarif;28;95;00.34;52.04.00;04/08/20 10.58
1477;syarif;28;95;00.39;52.35.00;04/08/20 10.59
1478;syarif;28;95;00.39;52.35.00;04/08/20 10.59
1479;syarif;28;95;00.39;52.35.00;04/08/20 10.59
1480;syarif;28;95;00.34;52.04.00;04/08/20 10.59
1481;syarif;28;95;00.34;52.04.00;04/08/20 11.00
1482;syarif;28;95;00.29;50.95;04/08/20 11.00
1483;syarif;28;95;00.39;52.35.00;04/08/20 11.00
1484;syarif;28;95;00.39;52.35.00;04/08/20 11.01
1485;syarif;28;95;00.34;52.04.00;04/08/20 11.01
1486;syarif;28;95;00.34;52.04.00;04/08/20 11.01
1487;syarif;28;95;00.39;52.35.00;04/08/20 11.01
1488;syarif;28;95;00.34;52.04.00;04/08/20 11.02
1489;syarif;28;95;00.39;52.35.00;04/08/20 11.02
1490;syarif;28;95;00.39;52.35.00;04/08/20 11.02
1491;syarif;28;95;00.34;52.04.00;04/08/20 11.02
1492;syarif;28;95;00.44;51.66;04/08/20 11.03
1493;syarif;28;95;00.39;52.35.00;04/08/20 11.03
1494;syarif;28;95;00.34;52.04.00;04/08/20 11.03
1495;syarif;28;95;00.39;52.35.00;04/08/20 11.03
1496;syarif;28;95;00.34;52.04.00;04/08/20 11.04
1497;syarif;28;95;00.39;52.35.00;04/08/20 11.04
1498;syarif;28;95;00.44;51.66;04/08/20 11.04
1499;syarif;28;95;00.39;52.35.00;04/08/20 11.04
1500;syarif;28;95;00.39;52.35.00;04/08/20 11.05
1501;syarif;28;95;00.34;52.04.00;04/08/20 11.05
1502;syarif;28;95;00.34;52.04.00;04/08/20 11.05
1503;syarif;28;95;00.34;52.04.00;04/08/20 11.05
1504;syarif;28;95;00.34;52.04.00;04/08/20 11.06
1505;syarif;28;95;00.29;50.95;04/08/20 11.06
1506;syarif;28;95;00.39;52.35.00;04/08/20 11.06
1507;syarif;28;95;00.34;52.04.00;04/08/20 11.06
1508;syarif;28;95;00.34;52.04.00;04/08/20 11.07
1509;syarif;28;95;0,044444444;46.04.00;04/08/20 11.07
1510;syarif;28;95;0,044444444;46.04.00;04/08/20 11.07
1511;syarif;28;95;00.59;47.56.00;04/08/20 11.08
1512;syarif;28;95;0,044444444;46.04.00;04/08/20 11.08
1513;syarif;28;95;00.59;47.56.00;04/08/20 11.08
1514;syarif;28;95;00.49;50.53.00;04/08/20 11.08
1515;syarif;28;95;00.59;47.56.00;04/08/20 11.09
1516;syarif;28;95;0,044444444;46.04.00;04/08/20 11.09
1517;syarif;28;95;00.59;47.56.00;04/08/20 11.09
1518;syarif;28;95;00.49;50.53.00;04/08/20 11.09
1519;syarif;28;95;0,044444444;46.04.00;04/08/20 11.10
1520;syarif;28;95;0,044444444;46.04.00;04/08/20 11.10
1521;syarif;28;95;00.49;50.53.00;04/08/20 11.10
1522;syarif;28;95;00.59;47.56.00;04/08/20 11.10
1523;syarif;28;95;0,044444444;46.04.00;04/08/20 11.11
1524;syarif;28;95;0,044444444;46.04.00;04/08/20 11.11
1525;syarif;28;95;0,044444444;46.04.00;04/08/20 11.11
1526;syarif;28;95;0,044444444;46.04.00;04/08/20 11.11
1527;syarif;28;95;0,044444444;46.04.00;04/08/20 11.12
1528;syarif;28;95;00.59;47.56.00;04/08/20 11.12
1529;syarif;28;95;0,044444444;46.04.00;04/08/20 11.12
1530;syarif;28;95;00.59;47.56.00;04/08/20 11.12
1531;syarif;28;95;00.49;50.53.00;04/08/20 11.13
1532;syarif;28;95;00.59;47.56.00;04/08/20 11.13
1533;syarif;28;95;00.59;47.56.00;04/08/20 11.13
1534;syarif;28;95;00.59;47.56.00;04/08/20 11.13
1535;syarif;28;95;0,044444444;46.04.00;04/08/20 11.14
1536;syarif;27;95;00.59;48.88;04/08/20 11.14
1537;syarif;27;95;0,044444444;46.84;04/08/20 11.14
1538;syarif;28;95;0,044444444;46.04.00;04/08/20 11.14
1539;syarif;27;95;0,044444444;46.84;04/08/20 11.15
1540;syarif;28;95;00.49;50.53.00;04/08/20 11.15
1541;syarif;27;95;0,044444444;46.84;04/08/20 11.15
1542;syarif;27;95;0,044444444;46.84;04/08/20 11.15
1543;syarif;27;95;0,044444444;46.84;04/08/20 11.16
