id;name;suhu;kelembaban;cahaya;keran;date
1611;syarif;27;95;0;45;03/08/20 12.36
1612;syarif;27;95;0;45;03/08/20 12.37
1613;syarif;27;95;0;45;03/08/20 12.37
1614;syarif;27;95;0;45;03/08/20 12.37
1615;syarif;27;95;0;45;03/08/20 12.37
1616;syarif;27;95;0;45;03/08/20 12.38
1617;syarif;27;95;0;45;03/08/20 12.38
1618;syarif;27;95;0;45;03/08/20 12.38
1619;syarif;27;95;0;45;03/08/20 12.39
1620;syarif;27;95;0;45;03/08/20 12.39
1621;syarif;27;95;0;45;03/08/20 12.39
1622;syarif;27;95;0;45;03/08/20 12.39
1623;syarif;27;95;0;45;03/08/20 12.40
1624;syarif;27;95;0;45;03/08/20 12.40
1625;syarif;27;95;0;45;03/08/20 12.40
1626;syarif;27;95;0;45;03/08/20 12.40
1627;syarif;27;95;0;45;03/08/20 12.41
1628;syarif;27;95;0;45;03/08/20 12.41
1629;syarif;27;95;0;45;03/08/20 12.41
1630;syarif;27;95;0;45;03/08/20 12.41
1631;syarif;27;95;0;45;03/08/20 12.42
1632;syarif;27;95;0;45;03/08/20 12.42
1633;syarif;27;95;0;45;03/08/20 12.42
1634;syarif;27;95;0;45;03/08/20 12.42
1635;syarif;27;95;0;45;03/08/20 12.43
1636;syarif;27;95;0;45;03/08/20 12.43
1637;syarif;27;95;0;45;03/08/20 12.43
1638;syarif;27;95;0;45;03/08/20 12.43
1639;syarif;27;95;0;45;03/08/20 12.44
1640;syarif;27;95;0;45;03/08/20 12.44
1641;syarif;27;95;0;45;03/08/20 12.44
1642;syarif;27;95;0;45;03/08/20 12.44
1643;syarif;27;95;0;45;03/08/20 12.45
1644;syarif;27;95;0;45;03/08/20 12.45
1645;syarif;27;95;0;45;03/08/20 12.45
1646;syarif;27;95;0;45;03/08/20 12.45
1647;syarif;27;95;0;45;03/08/20 12.46
1648;syarif;27;95;0;45;03/08/20 12.46
1649;syarif;27;95;0;45;03/08/20 12.46
1650;syarif;27;95;0;45;03/08/20 12.46
1651;syarif;27;95;0;45;03/08/20 12.47
1652;syarif;27;95;0;45;03/08/20 12.47
1653;syarif;27;95;0;45;03/08/20 12.47
1654;syarif;27;95;0;45;03/08/20 12.47
1655;syarif;27;95;0;45;03/08/20 12.48
1656;syarif;27;95;0;45;03/08/20 12.48
1657;syarif;27;95;0;45;03/08/20 12.48
1658;syarif;27;95;0;45;03/08/20 12.49
1659;syarif;27;95;0;45;03/08/20 12.49
1660;syarif;27;95;0;45;03/08/20 12.49
1661;syarif;27;95;0;45;03/08/20 12.50
1662;syarif;27;95;0;45;03/08/20 12.50
1663;syarif;27;95;0;45;03/08/20 12.50
1664;syarif;27;95;0;45;03/08/20 12.50
1665;syarif;27;95;0;45;03/08/20 12.51
1666;syarif;27;95;0;45;03/08/20 12.51
1667;syarif;27;95;0;45;03/08/20 12.51
1668;syarif;27;95;0;45;03/08/20 12.51
1669;syarif;27;95;0;45;03/08/20 12.52
1670;syarif;27;95;0;45;03/08/20 12.52
1671;syarif;27;95;0;45;03/08/20 12.52
1672;syarif;27;95;0;45;03/08/20 12.52
1673;syarif;27;95;0;45;03/08/20 12.53
1674;syarif;27;95;0;45;03/08/20 12.53
1675;syarif;27;95;0;45;03/08/20 12.53
1676;syarif;27;95;0;45;03/08/20 12.53
1677;syarif;26;95;0;45.02.00;03/08/20 12.54
1678;syarif;27;95;0;45;03/08/20 12.54
1679;syarif;27;95;0;45;03/08/20 12.54
1680;syarif;27;95;0;45;03/08/20 12.54
1681;syarif;27;95;0;45;03/08/20 12.55
1682;syarif;27;95;0;45;03/08/20 12.55
1683;syarif;27;95;0;45;03/08/20 12.55
1684;syarif;27;95;0;45;03/08/20 12.55
1685;syarif;27;95;0;45;03/08/20 12.56
1686;syarif;27;95;0;45;03/08/20 12.56
1687;syarif;27;95;0;45;03/08/20 12.56
1688;syarif;27;95;0;45;03/08/20 12.57
1689;syarif;26;95;0;45.02.00;03/08/20 12.57
1690;syarif;26;95;0;0;03/08/20 12.57
1691;syarif;26;95;0;0;03/08/20 12.58
